,Prec,Qobs,Temp,Evap
2002-01-31,2.667,0.4920600000000001,-8.9,0.6
2002-02-01,1.524,0.37016,-4.9,1.9
2002-02-02,4.953,0.37703000000000003,-5.5,1.9
2002-02-03,1.016,0.3821,-5.0,1.9
2002-02-04,0.381,0.38597,-5.4,1.9
2002-02-05,0.381,0.36938000000000004,-5.1,1.9
2002-02-06,5.461,0.36587,-3.0,1.9
2002-02-07,9.144,0.39054,-2.1,1.9
2002-02-08,1.778,0.38753000000000004,-4.6,1.9
2002-02-09,0.381,0.36125999999999997,-8.6,1.9
2002-02-10,0.381,0.3766,-4.6,1.9
2002-02-11,1.524,0.36243000000000003,-4.8,1.9
2002-02-12,0.0,0.34498,-10.1,1.9
2002-02-13,0.762,0.33401,-6.4,1.9
2002-02-14,0.0,0.3266,-7.8,1.9
2002-02-15,0.381,0.32035,-4.7,1.9
2002-02-16,0.0,0.31684,-5.5,1.9
2002-02-17,0.508,0.31778,-3.4,1.9
2002-02-18,1.016,0.32195,-2.3,1.9
2002-02-19,4.572,0.33343,-2.3,1.9
2002-02-20,0.0,0.35033000000000003,-2.0,1.9
2002-02-21,4.8260000000000005,0.35025,-3.5,1.9
2002-02-22,8.763,0.43055,0.3,1.9
2002-02-23,2.4130000000000003,0.5796899999999999,-10.8,1.9
2002-02-24,1.778,0.55218,-16.7,1.9
2002-02-25,0.0,0.55655,-18.2,1.9
2002-02-26,0.508,0.5595899999999999,-18.7,1.9
2002-02-27,1.143,0.5325,-12.7,1.9
2002-02-28,1.143,0.51755,-11.2,1.9
2002-03-01,0.381,0.50342,-11.2,2.4
2002-03-02,0.0,0.47753999999999996,-14.8,2.4
2002-03-03,0.0,0.46793999999999997,-7.9,2.4
2002-03-04,1.905,0.47273999999999994,-4.5,2.4
2002-03-05,6.222999999999999,0.47898999999999997,-7.2,2.4
2002-03-06,3.302,0.43506999999999996,-21.3,2.4
2002-03-07,1.016,0.40189,-23.1,2.4
2002-03-08,0.0,0.39986,-21.9,2.4
2002-03-09,1.905,0.3944,-11.1,2.4
2002-03-10,3.175,0.39643,-4.3,2.4
2002-03-11,11.557,0.43783999999999995,-1.4,2.4
2002-03-12,2.667,0.50772,-2.2,2.4
2002-03-13,0.508,0.48722,-3.8,2.4
2002-03-14,0.762,0.5172800000000001,-6.2,2.4
2002-03-15,2.286,0.5395300000000001,-5.6,2.4
2002-03-16,0.254,0.51135,-13.3,2.4
2002-03-17,1.778,0.48098,-17.7,2.4
2002-03-18,2.1590000000000003,0.47398999999999997,-14.5,2.4
2002-03-19,12.192,0.46255,-18.3,2.4
2002-03-20,3.556,0.46493,-19.5,2.4
2002-03-21,0.762,0.44728999999999997,-18.6,2.4
2002-03-22,0.0,0.43773,-5.1,2.4
2002-03-23,0.254,0.41294,-3.8,2.4
2002-03-24,1.524,0.40736,-4.7,2.4
2002-03-25,0.381,0.43425,-0.1,2.4
2002-03-26,1.905,0.4734,-0.4,2.4
2002-03-27,3.429,0.48515,-3.0,2.4
2002-03-28,1.905,0.52423,-2.7,2.4
2002-03-29,1.524,0.53008,-4.9,2.4
2002-03-30,0.762,0.52758,-1.1,2.4
2002-03-31,0.0,0.55881,-0.1,2.4
2002-04-01,3.81,0.52477,-5.7,1.8
2002-04-02,0.0,0.52809,-11.6,1.8
2002-04-03,0.0,0.57021,-12.4,1.8
2002-04-04,0.381,0.56248,-3.1,1.8
2002-04-05,2.286,0.5565100000000001,-1.2,1.8
2002-04-06,1.143,0.60452,0.8,1.8
2002-04-07,1.905,0.65577,1.0,1.8
2002-04-08,1.778,0.75297,-5.8,1.8
2002-04-09,7.874,0.86765,-1.6,1.8
2002-04-10,1.27,0.91589,1.0,1.8
2002-04-11,3.048,1.0236,2.3,1.8
2002-04-12,1.778,1.158,2.8,1.8
2002-04-13,10.795,1.433,4.0,1.8
2002-04-14,1.143,2.0935,3.4,1.8
2002-04-15,1.016,2.7043,-2.8,1.8
2002-04-16,0.508,2.8698,-1.8,1.8
2002-04-17,1.143,2.7049,-2.3,1.8
2002-04-18,1.143,2.3863,-1.7,1.8
2002-04-19,1.524,2.114,-0.3,1.8
2002-04-20,0.0,1.9099,-0.7,1.8
2002-04-21,0.0,1.7693,0.7,1.8
2002-04-22,0.0,1.6987,1.7,1.8
2002-04-23,3.4290000000000003,1.7017,-2.0,1.8
2002-04-24,0.762,1.6576,-4.5,1.8
2002-04-25,0.0,1.6125,-2.9,1.8
2002-04-26,3.048,1.5706,-2.7,1.8
2002-04-27,0.0,1.4934,-3.4,1.8
2002-04-28,0.0,1.4546,-1.1,1.8
2002-04-29,0.0,1.4324,2.8,1.8
2002-04-30,1.905,1.4361,2.0,1.8
2002-05-01,0.762,1.4249,0.4,1.4
2002-05-02,0.762,1.4872,1.8,1.4
2002-05-03,0.0,1.6509,0.4,1.4
2002-05-04,6.096,1.8047,-1.4,1.4
2002-05-05,3.302,1.8592,-1.7,1.4
2002-05-06,3.81,1.864,-3.0,1.4
2002-05-07,5.715,1.75,-4.1,1.4
2002-05-08,1.905,1.6346,-4.9,1.4
2002-05-09,0.381,1.5368,-2.9,1.4
2002-05-10,0.0,1.4243,-1.4,1.4
2002-05-11,0.381,1.3447,0.6,1.4
2002-05-12,0.0,1.2882,3.0,1.4
2002-05-13,0.762,1.2878,5.4,1.4
2002-05-14,0.762,1.4484,5.3,1.4
2002-05-15,0.0,1.6484,1.9,1.4
2002-05-16,1.778,1.8524,3.2,1.4
2002-05-17,0.254,1.9859,3.7,1.4
2002-05-18,1.27,2.0462,2.0,1.4
2002-05-19,0.762,2.1537,6.3,1.4
2002-05-20,0.254,2.7055,10.2,1.4
2002-05-21,3.556,3.5889,7.2,1.4
2002-05-22,13.589,4.8138,0.4,1.4
2002-05-23,0.381,5.3347,-1.5,1.4
2002-05-24,0.254,4.8212,-0.3,1.4
2002-05-25,1.651,4.0903,1.8,1.4
2002-05-26,0.381,3.5631,6.0,1.4
2002-05-27,2.54,3.4152,7.4,1.4
2002-05-28,0.635,3.6510000000000002,8.2,1.4
2002-05-29,0.0,4.1595,8.8,1.4
2002-05-30,0.0,4.7466,8.5,1.4
2002-05-31,0.0,5.2292,9.2,1.4
2002-06-01,0.762,5.5681,8.8,1.3
2002-06-02,1.143,5.7446,7.3,1.3
2002-06-03,0.0,5.4367,6.7,1.3
2002-06-04,0.381,5.1429,9.4,1.3
2002-06-05,0.0,4.8875,9.5,1.3
2002-06-06,0.0,4.705,7.3,1.3
2002-06-07,3.683,4.6521,3.9,1.3
2002-06-08,14.605,4.4347,2.4,1.3
2002-06-09,24.13,4.0678,3.1,1.3
2002-06-10,8.001,3.7399,4.7,1.3
2002-06-11,6.476999999999999,3.5389,5.9,1.3
2002-06-12,0.0,3.3476,9.8,1.3
2002-06-13,0.0,3.1235,12.2,1.3
2002-06-14,0.0,3.0262,15.5,1.3
2002-06-15,0.381,3.1404,15.9,1.3
2002-06-16,0.0,3.4610000000000003,15.9,1.3
2002-06-17,2.032,3.8054,13.2,1.3
2002-06-18,3.81,4.2021,7.6,1.3
2002-06-19,0.381,4.3607,5.5,1.3
2002-06-20,0.0,4.1311,8.2,1.3
2002-06-21,0.0,3.7579,12.0,1.3
2002-06-22,1.143,3.4518,14.8,1.3
2002-06-23,1.143,3.4275,14.9,1.3
2002-06-24,0.0,3.5898,13.8,1.3
2002-06-25,0.381,3.7612,14.9,1.3
2002-06-26,0.0,3.6991,17.3,1.3
2002-06-27,0.508,3.5522,17.7,1.3
2002-06-28,9.525,3.4718,13.6,1.3
2002-06-29,2.032,3.4746,10.6,1.3
2002-06-30,0.0,3.5023,9.1,1.3
2002-07-01,0.0,3.3465,7.8,1.0
2002-07-02,0.0,2.9286,8.7,1.0
2002-07-03,0.381,2.5266,11.3,1.0
2002-07-04,0.0,2.2268,10.3,1.0
2002-07-05,0.0,2.0428,8.1,1.0
2002-07-06,0.0,1.8792,11.4,1.0
2002-07-07,1.143,1.7866,17.0,1.0
2002-07-08,6.223000000000001,1.696,13.6,1.0
2002-07-09,0.0,1.7098,12.3,1.0
2002-07-10,0.381,1.7009,16.5,1.0
2002-07-11,0.0,1.6621,18.7,1.0
2002-07-12,0.0,1.5681,20.3,1.0
2002-07-13,2.6670000000000003,1.5013,21.7,1.0
2002-07-14,0.0,1.453,20.2,1.0
2002-07-15,0.0,1.3956,16.4,1.0
2002-07-16,0.0,1.3067,17.2,1.0
2002-07-17,0.0,1.2491,18.4,1.0
2002-07-18,0.0,1.1956,18.3,1.0
2002-07-19,0.0,1.1207,16.0,1.0
2002-07-20,0.0,1.0745,15.2,1.0
2002-07-21,0.0,1.0041,14.5,1.0
2002-07-22,0.0,0.9498200000000001,15.4,1.0
2002-07-23,0.0,0.91589,17.0,1.0
2002-07-24,1.27,0.87229,17.5,1.0
2002-07-25,0.762,0.80621,18.4,1.0
2002-07-26,0.0,0.76112,17.3,1.0
2002-07-27,0.762,0.7398100000000001,14.4,1.0
2002-07-28,4.572,0.70339,13.3,1.0
2002-07-29,0.0,0.69547,11.9,1.0
2002-07-30,0.0,0.66756,12.1,1.0
2002-07-31,0.0,0.62603,8.3,1.0
2002-08-01,0.762,0.58602,8.0,0.8
2002-08-02,0.0,0.5420699999999999,11.4,0.8
2002-08-03,0.0,0.5280100000000001,8.3,0.8
2002-08-04,0.381,0.49558,5.9,0.8
2002-08-05,1.524,0.48086,8.9,0.8
2002-08-06,1.524,0.4769600000000001,8.8,0.8
2002-08-07,0.381,0.49136,8.1,0.8
2002-08-08,2.286,0.48691,10.9,0.8
2002-08-09,0.0,0.4734,12.9,0.8
2002-08-10,0.0,0.45571999999999996,14.6,0.8
2002-08-11,0.0,0.44159,12.3,0.8
2002-08-12,0.0,0.41973,12.1,0.8
2002-08-13,0.0,0.40779,15.5,0.8
2002-08-14,0.0,0.39385,15.4,0.8
2002-08-15,0.0,0.37949,12.9,0.8
2002-08-16,0.381,0.36399000000000004,10.2,0.8
2002-08-17,0.762,0.35252,8.8,0.8
2002-08-18,0.0,0.34369,11.0,0.8
2002-08-19,0.0,0.34081,12.0,0.8
2002-08-20,0.381,0.34221,13.9,0.8
2002-08-21,7.619999999999999,0.3442,12.2,0.8
2002-08-22,23.495,0.33569,12.5,0.8
2002-08-23,0.381,0.33675,15.1,0.8
2002-08-24,0.0,0.34295,14.8,0.8
2002-08-25,1.524,0.35162,15.2,0.8
2002-08-26,1.524,0.34124,13.0,0.8
2002-08-27,3.048,0.33604,13.6,0.8
2002-08-28,0.0,0.33655,14.1,0.8
2002-08-29,0.0,0.34147,13.8,0.8
2002-08-30,0.0,0.33966999999999997,13.8,0.8
2002-08-31,0.381,0.34846,11.7,0.8
2002-09-01,0.0,0.3444,13.3,0.6
2002-09-02,0.381,0.31706999999999996,9.2,0.6
2002-09-03,0.0,0.29514,13.3,0.6
2002-09-04,1.016,0.2812,8.4,0.6
2002-09-05,0.381,0.27971999999999997,8.7,0.6
2002-09-06,2.286,0.27769,7.6,0.6
2002-09-07,0.0,0.28643,8.5,0.6
2002-09-08,0.381,0.29135,5.7,0.6
2002-09-09,0.0,0.30341,6.9,0.6
2002-09-10,0.381,0.30923,9.4,0.6
2002-09-11,0.0,0.31403000000000003,10.8,0.6
2002-09-12,0.0,0.30162,11.9,0.6
2002-09-13,0.0,0.28893,12.6,0.6
2002-09-14,0.0,0.28913,11.7,0.6
2002-09-15,0.0,0.26245999999999997,12.5,0.6
2002-09-16,1.778,0.26036,12.3,0.6
2002-09-17,9.144,0.25653000000000004,7.3,0.6
2002-09-18,0.0,0.25017,5.7,0.6
2002-09-19,0.381,0.24615,7.2,0.6
2002-09-20,0.0,0.24705,5.8,0.6
2002-09-21,0.0,0.25051999999999996,3.1,0.6
2002-09-22,0.0,0.25563,4.5,0.6
2002-09-23,0.0,0.25528,6.4,0.6
2002-09-24,0.0,0.24270999999999998,6.3,0.6
2002-09-25,0.0,0.2488,4.9,0.6
2002-09-26,1.3969999999999998,0.25239,5.5,0.6
2002-09-27,1.524,0.25161,4.4,0.6
2002-09-28,0.254,0.23869,3.4,0.6
2002-09-29,3.556,0.23292,5.4,0.6
2002-09-30,0.0,0.23705,2.8,0.6
2002-10-01,0.0,0.22007,0.8,0.4
2002-10-02,2.1590000000000003,0.21879,0.2,0.4
2002-10-03,3.175,0.23889000000000002,1.2,0.4
2002-10-04,0.254,0.24915,0.7,0.4
2002-10-05,2.286,0.23365999999999998,1.3,0.4
2002-10-06,0.762,0.22416999999999998,4.0,0.4
2002-10-07,0.0,0.23709000000000002,6.3,0.4
2002-10-08,0.0,0.2463,2.2,0.4
2002-10-09,0.0,0.25906999999999997,4.0,0.4
2002-10-10,1.143,0.26047,3.0,0.4
2002-10-11,0.0,0.26328,-3.0,0.4
2002-10-12,0.381,0.26332,-4.0,0.4
2002-10-13,0.381,0.2588,-1.3,0.4
2002-10-14,0.0,0.25505,-0.2,0.4
2002-10-15,0.508,0.24549,0.2,0.4
2002-10-16,0.0,0.24509,3.3,0.4
2002-10-17,0.381,0.24111,3.0,0.4
2002-10-18,0.0,0.23448000000000002,3.7,0.4
2002-10-19,0.0,0.2273,2.2,0.4
2002-10-20,0.0,0.23003,2.0,0.4
2002-10-21,0.0,0.2287,2.6,0.4
2002-10-22,0.0,0.22374000000000002,-2.0,0.4
2002-10-23,0.0,0.21620999999999999,-3.5,0.4
2002-10-24,0.381,0.20836,-4.4,0.4
2002-10-25,0.0,0.20731,-3.8,0.4
2002-10-26,0.0,0.20559000000000002,-2.8,0.4
2002-10-27,0.381,0.20044,-3.4,0.4
2002-10-28,0.762,0.20368,-3.1,0.4
2002-10-29,1.143,0.20017000000000001,-9.6,0.4
2002-10-30,0.0,0.19154000000000002,-13.0,0.4
2002-10-31,0.762,0.19353,-19.1,0.4
2002-11-01,0.0,0.28198,-15.5,0.2
2002-11-02,0.0,0.26996,-15.9,0.2
2002-11-03,0.381,0.27105,-7.0,0.2
2002-11-04,0.0,0.26239,-6.7,0.2
2002-11-05,0.381,0.26797,-4.6,0.2
2002-11-06,0.0,0.24502,-0.7,0.2
